group,rule,rule_label,instances,guarantee_kept,worst_minimum_ratio_over_lambda_star,median_minimum_ratio_over_lambda_star,median_total_delivery_relative_to_three_stage,median_temporal_variation_minus_three_stage,share_users_better,share_users_worse,delivery_relative_p05,delivery_relative_p95,temporal_variation_difference_p05,temporal_variation_difference_p95
equal_weights,three_stage,Three-stage lexicographic (proposed),144,144,0.9999999999896376,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
equal_weights,total_delivery_max,Total-delivery maximization,144,10,0.0,0.0,1.0167576268596932,1.3869731221684132,0.4810756972111554,0.4850597609561753,1.0,1.0453989695982957,-0.33514045296301376,7.1981339027271805
equal_weights,equal_proportional,Equal proportional allocation,144,144,1.0,1.0,0.6241430829734131,-2.8048144720144794,0.0,0.8087649402390438,0.20062593981884122,0.8880383426734939,-10.638556575566549,-0.7202226894455893
equal_weights,weighted_sum_balanced,"Weighted single objective (35), (a,b,c) = (1,1,1)",144,112,0.5511582827510761,1.0,0.8893865537111333,-2.4164220328583736,0.2559760956175299,0.6165338645418327,0.5978359344034446,0.9942308052775112,-8.53438308374684,-0.42007161888803624
equal_weights,weighted_sum_efficiency,"Weighted single objective (35), (a,b,c) = (1,5,1)",144,102,0.0,0.9999999999999999,0.9891233405026723,-1.561882831580542,0.30876494023904383,0.5089641434262948,0.9232034440124961,1.0,-7.598572024502691,-7.327471962526058e-16
equal_weights,weighted_sum_guarantee,"Weighted single objective (35), (a,b,c) = (5,1,1)",144,136,0.9622671650960056,1.0,0.8826141732559307,-2.335647379700619,0.23904382470119523,0.5806772908366534,0.5909654790438689,0.9916633855111932,-8.620195191001235,-0.4147524887253109
equal_weights,leximin,Full leximin (progressive filling),144,144,1.0,1.0,0.9886377413705938,-0.13817001809944424,0.4910358565737052,0.47310756972111556,0.9489470933869127,1.0,-3.3358303629221653,0.5893363755609894
unequal_weights,three_stage,Three-stage lexicographic (proposed),56,56,0.9999999996004516,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
unequal_weights,total_delivery_max,Total-delivery maximization,56,1,0.0,0.0,1.0374071931204694,1.858475818064408,0.4792626728110599,0.47235023041474655,1.0063615159163422,1.0848677294172149,-0.37827409212455443,5.6314800091630035
unequal_weights,equal_proportional,Equal proportional allocation,56,56,1.0,1.0,0.3412806809310893,-3.889552717193082,0.0,0.716589861751152,0.16342534825012336,0.6293585401695945,-9.57837616216661,-1.6231870755684514
unequal_weights,weighted_sum_balanced,"Weighted single objective (35), (a,b,c) = (1,1,1)",56,35,0.0,0.9999999999999999,0.7884619723604573,-3.216251099233235,0.15668202764976957,0.6566820276497696,0.6026632692035863,0.9519963498514918,-8.135746555795203,-1.0912149324415161
unequal_weights,weighted_sum_efficiency,"Weighted single objective (35), (a,b,c) = (1,5,1)",56,5,0.0,0.0,0.9191671004568222,-2.08992999821252,0.3640552995391705,0.5921658986175116,0.7055916175273013,0.9980418609803332,-4.528751646979776,-0.13246117160800688
unequal_weights,weighted_sum_guarantee,"Weighted single objective (35), (a,b,c) = (5,1,1)",56,55,0.9333116492510453,1.0,0.7884619723604573,-3.216251099233235,0.1313364055299539,0.543778801843318,0.5848465616940364,0.9570292400558716,-8.135746555795203,-1.0251830738082015
unequal_weights,leximin,Full leximin (progressive filling),56,56,1.0,1.0,0.9977552364731345,-0.41476659806273863,0.5668202764976958,0.4055299539170507,0.9767441136656659,1.013324439679267,-2.887913170873086,0.709936447021775
